,age,fnlwgt,capital-gain,capital-loss,hours-per-week
98,29,103432,0,0,40
99,17,304873,34095,0,32
100,30,194901,0,0,40
101,31,189265,0,0,40
102,42,124692,0,0,40
103,24,432376,0,0,40
104,56,335605,0,1887,50
105,28,377869,4064,0,25
106,36,102864,0,0,40
107,49,197371,0,0,40
108,55,247552,0,0,56
109,22,102632,0,0,41
110,21,199915,0,0,40
111,40,118853,0,0,60
112,30,77143,0,0,40
113,29,267989,0,0,50
114,19,301606,0,0,35
115,47,287828,0,0,40
116,20,111697,0,1719,28
117,31,114937,0,0,40
118,35,129305,0,0,40
119,39,365739,0,0,40
120,28,69621,0,0,60
121,24,43323,0,1762,40
122,38,120985,4386,0,35
123,37,254202,0,0,50
124,46,146195,0,0,36
125,38,125933,0,0,40
126,43,56920,0,0,60
127,27,163127,0,0,35
128,20,34310,0,0,20
129,49,81973,0,0,40
130,61,66614,0,0,40
131,27,232782,0,0,40
132,19,316868,0,0,30
133,45,196584,0,1564,40
134,70,105376,0,0,40
135,31,185814,0,0,30
136,22,175374,0,0,24
137,36,108293,0,0,24
138,64,181232,0,2179,40
139,43,174662,0,0,40
140,47,186009,0,0,38
141,34,198183,0,0,40
142,33,163003,0,0,40
143,21,296158,0,0,35
144,52,252903,0,0,45
145,48,187715,0,0,46
146,23,214542,0,0,40
147,71,494223,0,1816,2
148,29,191535,0,0,60
149,42,228456,0,0,50
150,68,38317,0,0,20
151,25,252752,0,0,40
152,44,78374,0,0,40
153,28,88419,0,0,40
154,45,201080,0,0,40
155,36,207157,0,0,40
156,39,235485,0,0,42
157,46,102628,0,0,40
158,18,25828,0,0,16
159,66,54826,0,0,20
160,27,124953,0,1980,40
161,28,175325,0,0,40
162,27,428030,0,0,50
163,28,149624,0,0,40
164,27,253814,0,0,25
165,21,312956,0,0,40
166,34,483777,0,0,40
167,18,183930,0,0,12
168,33,37274,0,0,65
169,44,181344,0,0,38
170,30,633742,0,0,45
171,40,286370,0,0,40
172,37,29054,0,0,42
173,34,304030,0,0,40
174,41,143129,0,0,40
175,53,135105,0,0,50
176,31,99928,0,0,50
177,58,109567,0,0,1
178,38,155222,0,0,28
179,24,159567,0,0,40
180,41,523910,0,0,40
181,47,120939,0,0,45
182,41,130760,0,0,24
183,23,197387,0,0,40
184,36,99374,0,0,40
185,40,56795,14084,0,55
186,35,138992,7298,0,40
187,24,32921,0,0,40
188,26,397317,0,1876,40
189,19,170653,0,0,40
190,51,259323,0,0,50
191,42,254817,0,1340,40
192,37,48211,0,0,35
193,18,140164,0,0,40
194,36,128757,7298,0,36
195,35,36270,0,0,60
196,58,210563,15024,0,35
197,17,65368,0,0,12
198,44,160943,0,0,40
199,37,208358,0,0,40
200,35,153790,0,0,40
201,60,85815,0,0,40
202,54,125417,0,0,40
203,37,635913,0,0,60
204,50,313321,0,0,40
205,38,182609,0,0,50
206,45,109434,0,0,55
207,25,255004,0,0,40
208,31,197860,0,0,40
209,64,187656,0,0,40
210,90,51744,0,2206,40
211,54,176681,0,0,20
212,53,140359,0,0,35
213,18,243313,0,0,40
214,60,24215,0,0,10
215,66,167687,1409,0,50
216,75,314209,0,0,20
217,65,176796,0,0,40
218,35,538583,3674,0,40
219,41,130408,0,0,38
220,25,159732,0,0,42
221,33,110978,0,0,40
222,40,170525,0,0,38
223,41,180138,0,0,50
224,38,115076,0,0,70
225,23,115458,0,0,40
226,40,347890,0,0,40
227,41,196001,0,0,20
228,24,273905,0,0,50
229,20,119156,0,0,20
230,38,179488,0,1741,40
231,56,203580,0,0,35
232,58,236596,0,0,45
233,32,183916,0,0,34
234,45,153141,0,0,40
235,41,112763,0,0,40
236,42,390781,0,0,40
237,59,171328,0,0,30
238,19,27382,0,0,40
239,58,259014,0,0,20
240,42,303044,0,0,40
241,20,117789,0,0,40
242,32,172579,0,0,30
243,50,204518,0,0,40
244,36,150042,0,0,40
245,45,98092,0,0,60
246,17,245918,0,0,12
247,59,146013,4064,0,40
248,26,378322,0,0,40
249,37,257295,0,0,75
250,19,218956,0,0,24
251,64,21174,0,0,40
252,33,185480,0,0,45
253,33,222205,0,0,40
254,61,69867,0,0,40
255,17,191260,1055,0,24
256,50,30653,2407,0,98
257,27,209109,0,0,35
258,30,70377,0,0,40
259,43,477983,0,0,40
260,44,170924,7298,0,40
261,35,190174,0,0,40
262,25,193787,0,0,40
263,24,279472,7298,0,48
264,42,97688,5178,0,40
265,34,175413,0,0,45
266,60,173960,0,0,42
267,21,205759,0,0,40
268,57,425161,15024,0,40
269,41,220531,0,0,60
270,50,176609,0,0,45
271,25,371987,0,0,40
272,50,193884,0,0,40
273,36,200352,0,0,45
274,31,127595,0,0,40
275,29,220419,0,0,56
276,21,231931,0,0,45
277,27,248402,0,0,40
278,65,111095,0,0,16
279,39,157443,3464,0,40
280,24,278130,0,0,40
281,38,169469,0,0,80
282,48,146268,7688,0,40
283,21,153718,0,0,25
284,31,217460,0,0,45
285,55,238638,4386,0,40
286,24,303296,0,0,40
287,43,173321,0,0,40
288,26,193945,0,0,45
289,46,83082,0,0,33
290,41,34987,0,0,54
291,34,142897,7298,0,35
292,19,860348,0,0,25
293,22,199698,0,0,15
294,24,191954,0,0,40
295,22,399087,0,0,40
296,29,423158,0,0,40
297,62,159841,0,0,24
298,39,174308,0,0,40
299,43,50356,0,1485,50
300,35,186110,0,0,45
301,29,200381,0,0,40
302,76,174309,0,0,10
303,63,78383,0,0,45
304,23,211601,0,0,15
305,43,187728,0,1887,50
306,58,321171,0,0,40
307,66,127921,2050,0,55
308,41,206565,0,0,45
309,26,224563,0,0,40
310,47,178686,0,0,40
311,55,98545,0,0,40
312,53,242606,0,0,40
313,17,270942,0,0,48
314,30,94235,0,0,40
315,49,71195,0,0,60
316,19,104112,0,0,30
317,45,261192,0,0,40
318,26,94936,0,0,40
319,38,296478,7298,0,40
320,36,119272,7298,0,40
321,33,85043,0,0,20
322,22,293364,0,0,40
323,43,241895,0,0,42
324,67,36135,0,0,8
325,30,151989,0,0,40
326,56,101128,0,0,25
327,31,156464,0,0,25
328,33,117963,0,0,40
329,26,192262,0,0,40
330,33,111363,0,0,40
331,46,329752,0,0,30
332,59,372020,0,0,40
333,38,95432,0,0,40
334,65,161400,0,0,40
335,40,96129,0,0,40
336,42,111949,0,0,35
337,26,117125,0,0,40
338,36,348022,0,0,24
339,62,270092,0,0,40
340,43,180609,0,0,45
341,43,174575,0,1564,45
342,22,410439,0,0,55
343,28,92262,0,0,40
344,56,183081,0,0,45
345,22,362589,0,0,15
346,57,212448,0,0,45
347,39,481060,0,0,40
348,26,185885,0,0,15
349,17,89821,0,0,10
350,40,184018,0,0,38
351,45,256649,0,0,40
352,44,160323,0,0,40
353,20,350845,0,0,10
354,33,267404,0,0,40
355,23,35633,0,0,40
356,46,80914,0,0,30
357,38,172927,0,0,50
358,54,174319,0,0,40
359,46,214955,0,2339,45
360,25,344991,0,0,40
361,46,108699,0,0,40
362,36,117312,0,0,40
363,23,396099,0,0,25
364,29,134152,0,0,40
365,44,162028,0,2415,6
366,19,25429,0,0,16
367,19,232392,0,0,40
368,35,220098,0,0,40
369,27,301302,0,0,50
370,46,277946,0,0,40
371,34,98101,7688,0,45
372,34,196164,0,0,35
373,44,115562,0,0,40
374,45,96975,0,0,40
375,20,137300,0,0,35
376,25,86872,0,0,55
377,52,132178,0,0,50
378,20,416103,0,0,40
379,28,108574,0,0,40
380,50,288353,0,0,40
381,34,227689,0,0,64
382,28,166481,0,2179,40
383,41,445382,0,1977,65
384,28,110145,0,0,40
385,46,317253,0,0,25
386,28,123147,0,1887,40
387,32,364657,0,0,50
388,41,42346,0,0,24
389,24,241951,0,0,40
390,33,118500,0,0,40
391,46,188386,15024,0,60
392,31,1033222,0,0,40
393,35,92440,0,0,50
394,30,426017,0,0,19
395,34,243867,0,0,40
396,20,61777,0,0,30
397,17,175024,2176,0,18
398,32,92003,0,0,40
399,29,188401,0,0,40
400,33,228528,0,0,35
401,25,133373,0,0,60
402,36,255191,0,1408,40
403,23,204653,0,0,72
404,63,222289,0,0,40
405,47,287480,0,0,40
406,40,204116,2174,0,40
407,30,29662,0,0,25
408,27,116358,0,1980,40
409,33,208405,0,0,50
410,34,284843,594,0,60
411,34,117018,0,0,40
412,23,81281,0,0,40
413,42,340148,0,0,40
414,29,363425,0,0,40
415,45,45857,0,0,28
416,24,191073,0,0,40
417,44,116632,0,0,40
418,27,405855,0,0,40
419,20,298227,0,0,35
420,44,290521,0,0,40
421,51,56915,0,0,40
422,20,146538,0,0,40
423,17,258872,0,0,5
424,60,245062,0,0,40
425,42,197583,0,0,40
426,44,234885,0,0,40
427,40,72887,0,0,40
428,30,180374,0,0,40
429,38,351299,0,0,50
430,23,54012,0,0,60
431,32,115745,0,0,40
432,44,116632,0,0,40
433,54,288825,0,0,40
434,32,132601,0,0,50
435,50,193374,0,0,40
436,24,170070,0,0,20
437,37,126708,0,0,60
438,52,35598,0,0,40
439,38,33983,0,0,40
440,49,192776,0,1977,45
441,30,118551,0,0,16
442,60,201965,0,0,40
443,22,139883,0,0,40
444,30,303990,0,0,60
445,67,49401,0,0,24
446,46,279196,0,0,40
447,17,211870,0,0,6
448,22,281432,0,0,30
449,27,161155,0,0,40
450,23,197904,0,0,35
451,33,111746,0,0,45
452,43,170721,0,0,20
453,28,70100,0,0,20
454,41,193626,0,0,40
455,52,271749,594,0,40
456,25,189775,0,0,20
457,63,401531,0,0,35
458,59,286967,0,0,45
459,45,164427,0,0,40
460,38,91039,15024,0,60
461,40,347934,0,0,35
462,46,371373,0,0,40
463,35,32220,0,0,60
464,34,187251,0,0,25
465,33,178107,0,0,20
466,41,343121,0,0,36
467,20,262749,0,0,40
468,23,403107,0,0,40
469,26,64293,0,0,35
470,72,303588,0,0,20
471,23,324960,0,0,40
472,62,114060,0,0,40
473,52,48925,0,0,40
474,58,180980,0,0,42
475,24,388093,0,0,40
476,19,249609,0,0,8
477,43,112131,0,0,40
478,47,543162,0,0,40
479,39,91996,0,0,40
480,49,141944,0,1380,42
481,53,251804,0,0,30
482,32,37070,0,0,45
483,34,337587,0,0,50
484,28,189346,0,0,45
485,57,222216,0,0,38
486,25,267044,0,0,20
487,20,214635,0,0,24
488,21,204226,0,0,35
489,34,108116,0,0,50
490,50,196232,7688,0,50
491,24,248344,0,0,50
492,37,186035,0,0,45
493,44,177905,0,0,58
494,28,85812,0,0,40
495,42,221172,0,0,40
496,74,99183,0,0,9
497,38,190387,0,0,50
498,44,202692,0,0,40
499,44,109339,0,0,46
500,26,108658,0,0,40
501,36,197202,0,0,40
502,41,101739,0,0,50
503,67,231559,20051,0,48
504,39,207853,0,0,50
505,57,190942,0,0,30
506,29,102345,0,0,40
507,31,41493,0,0,45
508,34,190027,0,0,40
509,44,210525,0,0,40
510,29,133937,0,0,40
511,30,237903,0,0,40
512,27,163862,0,0,40
513,27,201872,0,0,50
514,32,84179,0,0,45
515,58,51662,0,0,8
516,35,233327,0,0,40
517,21,259510,0,0,36
518,28,184831,0,0,40
519,46,245724,0,0,50
520,36,27053,0,0,40
521,72,205343,0,0,40
522,35,229328,0,0,40
523,69,136218,0,0,40
524,35,54576,0,0,40
525,31,323069,0,0,20
526,34,148291,0,0,32
527,30,152453,0,0,40
528,28,114053,0,0,55
529,54,212960,0,0,35
530,47,264052,0,0,50
531,24,82804,0,0,40
532,52,334273,0,0,60
533,20,27337,0,0,48
534,43,188436,5013,0,45
535,45,433665,0,0,40
536,29,110663,0,0,35
537,47,87490,0,0,42
538,24,354351,0,0,40
539,51,95469,0,0,40
540,17,242718,0,0,12
541,37,22463,0,1977,40
542,27,158156,0,0,70
543,29,350162,0,0,40
544,18,165532,0,0,25
545,36,28738,0,0,35
546,58,283635,0,0,40
547,26,86646,0,0,45
548,65,195733,0,0,30
549,57,69884,0,0,40
550,59,199713,0,0,40
551,27,181659,0,0,40
552,31,340939,0,0,40
553,21,197747,0,0,24
554,29,34292,0,0,60
555,18,156764,0,0,40
556,52,25826,0,1887,47
557,57,103948,0,0,80
558,42,137390,0,0,40
559,55,105138,0,0,40
560,60,39352,0,0,48
561,31,168387,7688,0,40
562,23,117789,0,0,40
563,27,267147,0,0,40
564,23,99399,0,0,25
565,42,214242,0,1902,50
566,25,200408,2174,0,40
567,49,136455,0,0,45
568,32,239824,0,0,40
569,19,217039,0,0,28
570,60,51290,0,0,40
571,35,194404,0,0,40
572,48,45612,0,0,37
573,51,410114,0,0,40
574,29,182521,0,0,40
575,17,169658,0,0,21
576,52,200853,6849,0,60
577,24,247564,0,0,40
578,24,249909,0,0,50
579,26,208122,1055,0,40
580,27,109881,0,0,20
581,39,207824,0,0,60
582,30,369027,0,0,45
583,50,114117,0,0,32
584,52,51048,0,0,55
585,46,102388,15024,0,45
586,23,190483,0,0,20
587,45,462440,0,0,20
588,65,109351,0,0,24
589,47,241832,0,0,40
590,30,124187,0,0,60
591,34,153614,0,0,45
592,38,267556,0,0,64
593,33,205469,0,0,40
594,49,268090,0,0,26
595,47,165039,0,0,40
596,49,120451,0,0,40
597,43,154374,15024,0,60
598,30,103649,0,0,40
599,58,35723,0,0,60
600,19,262601,0,0,14
601,21,226181,0,0,40
602,33,175697,15024,0,60
603,47,248145,0,0,50
604,52,289436,0,0,60
605,26,75654,0,0,55
606,21,160968,0,0,40
607,36,188563,5178,0,50
608,31,55849,0,0,45
609,50,195322,0,0,40
610,31,402089,0,0,40
611,71,78277,0,0,15
612,58,158611,0,0,50
613,30,169496,0,0,40
614,20,130959,0,0,20
615,24,556660,4101,0,50
616,35,292472,0,0,40
617,38,143774,0,0,45
618,27,288341,0,0,32
619,29,71592,0,0,40
620,70,167358,1111,0,15
621,34,106742,0,0,45
622,44,219288,0,0,35
623,43,174524,0,0,40
624,44,335183,0,0,40
625,35,261293,0,0,60
626,27,111900,0,0,40
627,43,194360,0,0,38
628,20,81145,0,0,25
629,42,341204,8614,0,40
630,27,249362,3411,0,40
631,42,247019,0,0,40
632,20,114746,0,1762,40
633,24,172146,0,1721,40
634,48,110457,0,0,40
635,17,80077,0,0,20
636,17,368700,0,0,10
637,33,182556,0,0,40
638,50,219420,0,0,50
639,22,240817,2597,0,40
640,17,102726,0,0,16
641,32,226267,0,0,40
642,31,125457,0,0,45
643,58,204021,0,0,50
644,29,92262,0,0,48
645,37,161141,0,0,40
646,34,190290,0,0,40
647,23,430828,0,0,40
648,18,59342,0,0,5
649,34,136721,0,0,40
650,66,149422,0,0,4
651,45,86644,0,0,55
652,41,195124,0,0,35
653,26,167350,0,0,30
654,54,113000,0,0,40
655,24,140027,0,0,45
656,42,262425,0,0,50
657,20,316702,0,0,20
658,23,335453,0,0,20
659,25,202480,0,0,45
660,35,203628,0,0,60
661,31,118710,0,1902,40
662,30,189620,0,0,40
663,19,475028,0,0,20
664,36,110866,0,0,50
665,31,243605,0,1380,40
666,21,163870,0,0,30
667,31,80145,0,0,40
668,46,295566,25236,0,65
669,44,63042,0,0,50
670,40,229148,0,0,40
671,45,242552,0,0,40
672,60,177665,0,0,35
673,18,208103,0,0,25
674,36,70282,0,0,40
675,36,271767,0,0,40
676,40,144995,4386,0,40
677,36,382635,0,0,35
678,31,295697,0,0,40
679,33,194141,0,0,40
680,19,378418,0,0,40
681,22,214399,0,0,15
682,34,217460,0,0,45
683,33,182556,0,0,40
684,41,125831,0,2051,60
685,29,271328,4650,0,40
686,50,50459,0,0,42
687,42,162140,7298,0,45
688,43,177937,0,0,40
689,20,299047,0,0,20
690,31,223212,0,0,40
691,65,118474,9386,0,59
692,23,352139,0,0,24
693,26,181655,0,2377,45
694,25,332702,0,0,15
695,45,51164,0,0,40
696,35,234901,2407,0,40
697,36,131414,0,0,36
698,43,260960,0,0,50
699,56,156052,594,0,20
700,42,279914,0,0,40
701,19,192453,0,0,25
702,55,200939,0,0,72
703,42,151408,14084,0,50
704,26,112847,0,0,40
705,17,316929,0,0,20
706,42,126319,0,0,40
707,55,197422,7688,0,40
708,32,267736,0,0,40
709,29,267034,0,0,40
710,46,193047,0,0,37
711,29,356089,7688,0,40
712,22,223515,0,0,20
713,58,87510,0,0,40
714,23,145111,0,0,50
715,39,48093,0,0,40
716,27,31757,0,0,38
717,54,285854,0,0,40
718,33,120064,0,0,45
719,46,167381,0,0,40
720,37,103408,0,0,40
721,36,101460,0,0,18
722,59,420537,0,0,38
723,34,119411,0,0,40
724,53,128272,0,0,70
725,51,386773,0,0,55
726,32,283268,0,0,42
727,31,301526,0,0,40
728,22,151790,0,0,30
729,47,106252,0,0,50
730,32,188557,0,0,40
731,26,171114,0,0,38
732,37,327323,0,0,32
733,31,244147,0,0,55
734,37,280282,0,0,24
735,55,116442,0,0,38
736,23,282579,0,0,56
737,36,51838,0,0,40
738,34,73585,0,0,40
739,43,226902,0,0,50
740,54,279129,0,0,40
741,43,146908,0,0,40
742,28,196690,0,1669,42
743,40,130760,0,0,50
744,40,237601,0,0,55
745,61,36671,0,2352,50
746,18,231193,0,0,30
747,59,192130,0,0,16
748,21,149704,1055,0,40
749,48,102102,0,0,50
750,41,32185,0,0,40
751,18,196061,0,0,33
752,23,211046,2463,0,40
753,60,31577,0,0,60
754,22,162343,0,0,20
755,61,128831,0,0,40
756,25,316688,0,0,40
757,46,90758,0,0,35
758,43,274363,0,1902,40
759,43,154538,0,0,40
760,24,106085,0,1721,30
761,68,315859,0,0,20
762,31,51471,0,0,38
763,17,193830,0,0,20
764,32,231043,5178,0,48
765,50,23780,0,0,40
766,33,169879,3103,0,47
767,64,270333,0,0,40
768,20,138768,0,0,30
769,30,191571,0,0,36
770,43,94113,0,0,45
771,22,137510,0,0,40
772,17,32607,0,0,20
773,47,93208,0,0,75
774,41,254440,0,0,60
775,56,186556,0,0,50
776,64,169871,0,0,45
777,47,191277,0,0,50
778,48,167159,0,0,40
779,31,171871,0,0,46
780,29,154411,0,0,40
781,30,129227,0,0,40
782,32,110331,0,1672,60
783,57,34269,0,653,42
784,62,174355,0,0,40
785,39,680390,0,0,24
786,43,233130,0,0,25
787,24,165474,0,0,40
788,42,257780,0,0,15
789,53,194259,4386,0,40
790,26,280093,0,0,40
791,73,177387,0,0,40
792,72,28929,0,0,24
793,55,105304,0,0,40
794,25,499233,0,0,40
795,41,180572,0,0,50
796,24,321435,0,0,50
797,17,198124,0,0,20
798,35,135162,0,0,50
799,51,146813,0,0,40
800,62,291175,0,0,48
801,55,387569,4386,0,40
802,43,102895,0,0,40
803,40,33274,0,0,50
804,37,86551,0,0,45
805,39,138192,0,0,40
806,31,118966,0,0,18
807,61,99784,0,0,40
808,26,90980,0,0,55
809,46,177407,0,0,50
810,26,96467,0,0,40
811,48,327886,0,0,50
812,34,111567,0,0,40
813,34,166545,0,0,40
814,59,142182,0,0,40
815,34,188798,0,0,40
816,49,38563,0,0,56
817,18,216284,0,0,20
818,48,285335,0,0,50
819,28,142712,0,0,70
820,33,80945,0,0,40
821,24,309055,0,0,15
822,21,62339,0,0,40
823,17,368700,0,0,28
824,39,176186,0,0,50
825,29,266855,0,0,40
826,44,48087,0,0,40
827,24,121313,0,0,50
828,71,143437,10605,0,40
829,51,160724,0,2415,40
830,55,282753,0,0,25
831,41,194636,0,0,60
832,23,153044,0,0,7
833,38,411797,0,0,40
834,39,117683,0,0,40
835,19,376540,0,0,30
836,49,72393,0,0,40
837,32,270335,0,0,40
838,27,96226,0,0,70
839,38,95336,0,0,50
840,33,258498,0,0,60
841,63,149698,0,0,15
842,23,205865,0,0,28
843,33,155781,0,0,60
844,54,406468,0,0,40
845,48,144397,0,0,30
846,35,372525,0,0,40
847,28,164170,0,0,40
848,37,183800,7688,0,50
849,42,177307,0,0,65
850,40,170108,0,0,40
851,22,226508,0,0,50
852,63,28856,0,0,55
853,51,175897,0,0,20
854,22,99697,0,0,40
855,27,90270,0,0,40
856,35,152375,0,0,45
857,46,171550,0,0,38
858,37,211154,0,0,52
859,37,168496,0,0,10
860,53,68898,0,0,40
861,27,93235,0,0,30
862,38,278924,0,0,44
863,53,311020,0,0,60
864,34,175878,0,0,40
865,23,543028,0,0,40
866,43,158926,0,0,50
867,67,76860,0,0,40
868,81,136063,0,0,30
869,21,186648,0,0,20
870,23,257509,0,0,25
871,25,98155,0,0,40
872,42,274198,0,0,38
873,38,97083,0,0,40
874,64,29825,0,0,5
875,32,262153,0,0,40
876,37,214738,0,0,40
877,51,138022,0,0,60
878,33,373662,0,0,40
879,42,162003,0,0,55
880,19,52114,0,0,10
881,51,241843,0,0,40
882,23,375871,0,0,40
883,37,186934,3103,0,44
884,47,21906,0,0,25
885,41,132222,0,2415,40
886,33,143653,0,0,30
887,31,111567,0,0,40
888,31,78602,0,0,40
889,35,465507,0,0,40
890,38,196373,0,0,40
891,18,293227,0,0,45
892,20,241752,0,0,40
893,54,166398,0,0,35
894,40,184682,0,0,40
895,36,108293,0,1977,45
896,43,250802,0,0,35
897,44,174675,0,0,40
898,43,227065,0,0,43
899,51,269080,0,0,40
900,18,177722,0,0,20
901,51,133461,0,0,40
902,41,239683,0,0,30
903,44,398473,0,0,70
904,33,298785,0,0,40
905,33,123424,0,0,40
906,42,176286,0,0,40
907,25,150062,0,0,45
908,32,169240,0,0,38
909,32,288273,0,0,70
910,36,526968,0,0,40
911,35,368825,0,0,60
912,55,189721,0,0,20
913,48,164966,0,0,40
914,36,94954,0,0,20
915,34,202046,0,0,35
916,28,161538,0,0,35
917,67,105252,0,2392,40
918,37,200153,0,0,40
919,44,32185,0,0,70
920,25,178326,0,0,40
921,21,255957,4101,0,40
922,40,188693,0,0,35
923,78,182977,2964,0,40
924,34,159929,0,0,40
925,49,123207,0,0,44
926,22,284317,0,0,40
927,23,184699,0,0,40
928,60,154474,0,0,42
929,45,318280,0,0,40
930,63,254907,0,0,20
931,47,335973,0,0,40
932,44,126701,0,0,40
933,51,122159,3325,0,40
934,46,187370,0,1504,40
935,41,194636,0,0,40
936,50,124793,0,0,30
937,47,192835,0,0,50
938,56,112840,0,0,55
939,45,89325,0,0,45
940,48,33109,0,0,58
941,40,82465,2580,0,40
942,39,329980,15024,0,50
943,20,148294,0,0,40
944,50,168212,0,1902,65
945,23,115244,0,0,60
946,31,162572,0,0,16
947,58,356067,0,0,40
948,66,271567,0,0,40
949,39,180804,0,0,40
950,54,123011,15024,0,52
951,26,109186,0,0,50
952,34,124827,0,0,40
953,50,767403,3103,0,40
954,42,118494,0,0,44
955,38,173208,0,0,25
956,48,107373,0,0,40
957,51,191965,0,0,32
958,22,122346,0,0,40
959,19,117201,0,0,30
960,41,198316,0,0,50
961,48,123075,0,0,35
962,42,209370,0,0,30
963,34,33117,0,0,40
964,23,129042,0,0,40
965,56,169133,0,0,50
966,30,201624,0,0,45
967,45,368561,0,0,55
968,48,207848,0,0,40
969,31,93106,0,0,40
970,20,223515,0,1719,20
971,32,206365,0,0,40
972,76,431192,0,0,2
973,19,241616,0,2001,40
974,66,150726,1409,0,1
975,37,123785,0,0,75
976,34,289984,0,0,30
977,34,164309,0,0,8
978,90,137018,0,0,40
979,23,137994,0,0,40
980,43,341204,0,0,40
981,44,167005,7688,0,60
982,24,34446,0,0,37
983,28,187160,0,0,55
984,64,196288,0,0,20
985,23,217961,0,0,40
986,20,74631,0,0,50
987,36,156667,0,1902,50
988,61,125155,0,0,40
989,53,263925,0,0,40
990,30,296453,7298,0,40
991,52,44728,0,0,55
992,38,193026,0,0,40
993,32,87643,0,0,40
994,41,302122,0,0,40
995,49,193960,0,1902,40
996,45,185385,0,0,47
997,43,277647,0,0,35
998,61,128848,3471,0,40
999,54,377701,0,0,32
1000,34,157886,0,0,40
1001,49,175958,0,0,80
1002,38,223004,0,0,40
1003,35,199352,0,1977,80
1004,36,29984,0,0,40
1005,30,181651,0,0,50
1006,36,117312,0,0,60
1007,22,34029,0,0,20
1008,38,132879,0,1902,40
1009,37,215310,0,0,50
1010,48,55863,0,1902,46
1011,17,220384,0,0,15
1012,19,36012,0,0,20
1013,27,137645,0,1590,40
1014,22,191342,0,0,50
1015,49,31339,0,0,40
1016,43,227910,0,0,40
1017,43,173728,0,0,40
1018,19,167816,0,0,35
1019,58,81642,0,0,60
1020,41,195258,0,0,40
1021,31,232475,0,0,40
1022,30,241259,0,0,40
1023,32,118161,0,0,40
1024,29,201954,0,0,35
1025,42,150533,7298,0,52
1026,38,412296,0,0,28
1027,41,133060,0,0,40
1028,44,120539,0,0,50
1029,31,196025,0,0,60
1030,34,107793,0,0,40
1031,21,163870,0,0,40
1032,22,361280,0,0,20
1033,62,92178,0,0,40
1034,19,80710,0,0,40
1035,29,260729,0,1977,25
1036,43,182254,0,0,40
1037,68,140282,0,0,8
1038,45,149865,0,0,60
1039,39,218184,0,1651,40
1040,41,118619,0,0,50
1041,34,196791,0,0,25
1042,34,167999,0,0,33
1043,31,51259,0,0,47
1044,29,131088,0,0,25
1045,41,118212,3103,0,40
1046,41,293791,0,0,55
1047,35,289430,0,0,45
1048,33,35378,0,0,45
1049,37,60227,0,0,38
1050,69,168139,0,0,40
1051,34,290763,0,0,40
1052,60,226355,0,2415,70
1053,36,51100,0,0,40
1054,41,227644,0,0,50
1055,58,205267,0,0,40
1056,53,288020,0,0,40
